Japonês,Inglês,Português,Explicação,Tipo de Termo,Onde aparece
司祭代行,Acting Presbyter,Presbítero Interino,,Igreja,Tsukihime Remake
神代同盟,Age of Gods Alliance,Aliança da Era dos Deuses,,Vampiros,Tsukihime Remake
,Anemic Attack,Crise Anêmica,,Geral,Tsukihime Remake
,Bag,Pasta,,Geral,Tsukihime Remake
黒鍵,Black Key,Black Key,Espadas usadas por todos os Inquisitores da Igreja contra demônios e vampiros,Igreja,Tsukihime Remake
,Branch family,Ramificação da família,,Geral,Tsukihime Remake
埋葬機関,Burial Agency,Agência Mortuária,,Igreja,Tsukihime Remake
,Cafeteria,Refeitório,Expressão adaptada que o Shiki geralmente usa na TL da Tsukihimates,Geral,Tsukihime Remake
概念武装,Conceptual Weapon,Arma Conceitual,,Sobrenatural,Tsukihime Remake
死徒,Dead Apostle,Apóstolo Morto ,,Vampiros,Tsukihime Remake
,Dead Apostle Ancestor,Apóstolo Ancestral da Morte,,Vampiros,Tsukihime Remake
I階梯：死者,Dead Apostle Rank I: Dead,Apóstolo da Morte Ranque I: Morto,,Vampiros,Tsukihime Remake
II階梯：屍鬼,Dead Apostle Rank II: Ghoul,Apóstolo da Morte Ranque II: Carniçal,,Vampiros,Tsukihime Remake
III階梯：不死,Dead Apostle Rank III: Undead,Apóstolo da Morte Ranque III: Morto-Vivo,,Vampiros,Tsukihime Remake
IV階梯：夜属,Dead Apostle Rank IV: Nightkin,Apóstolo da Morte Ranque IV: Serviçal da Noite,,Vampiros,Tsukihime Remake
IX階梯：祖,Dead Apostle Rank IX: Ancestor,Apóstolo da Morte Ranque IX: Ancestral,,Vampiros,Tsukihime Remake
V階梯：夜魔,Dead Apostle Rank V: Nightmare,Apóstolo da Morte Ranque V: Pesadelo,,Vampiros,Tsukihime Remake
VI階梯：下級死徒,Dead Apostle Rank VI: Lesser Dead Apostle,Apóstolo da Morte Ranque VI: Apóstolo da Morte Inferior,,Vampiros,Tsukihime Remake
VII階梯：上級死徒,Dead Apostle Rank VII: Greater Dead Apostle,Apóstolo da Morte Ranque VII: Apóstolo da Morte Superior,,Vampiros,Tsukihime Remake
VIII階梯：後継者,Dead Apostle Rank VIII: Successor,Apóstolo da Morte Ranque VIII: Sucessor,,Vampiros,Tsukihime Remake
断罪死（パニッシュ）,Death by Condemnation / Punish,Morte por Condenação/Punição,,Ciel,Tsukihime Remake
病死（シック）,Death by Disease / Sick,Morte por Enfermidade/Doença,,Ciel,Tsukihime Remake
出血死（ブレイド）,Death by Hemorrhage / Blade,Morte por Hemorragia/Lâmina,,Ciel,Tsukihime Remake
焼死（ブレイズ）,Death by Immolation / Blaze,Morte por Imolação/Labareda,,Ciel,Tsukihime Remake
衝突死（ブレイク）,Death by Impact / Break,Morte por Impacto/Quebra,,Ciel,Tsukihime Remake
精神死（ロスト）,Death by Insanity / Lost,Morte por Insanidade/Perda,,Ciel,Tsukihime Remake
拷問死（ペイン）,Death by Torture / Pain,Morte por Tortura/Dor,,Ciel,Tsukihime Remake
,Deputy Presbyter,Presbítero Adjunto,,Igreja,Tsukihime Remake
地脈,Earthvein,Linha da Terra,,Geral,Tsukihime Remake
エーテル,Ether,Éter,,Sobrenatural,Tsukihime Remake
代行者,Executor,Executor,,Igreja,Tsukihime Remake
,Family Head,Chefe da família,,Geral,Tsukihime Remake
大魔術,Greater Magecraft ,Grande Magia,,Magos,Tsukihime Remake
原理血戒／イデアブラッド,Hemonomic Principle / Idea Blood,Princípio Sanguíneo / Idea Blood,,Vampiros,Tsukihime Remake
復元呪詛,Hex of Restoration,,,Vampiros,Tsukihime Remake
聖堂教会,Holy Church,Igreja Sagrada,,Igreja,Tsukihime Remake
反転衝動,Inversion Impulse,Impulso Inverso,,Sobrenatural,Tsukihime Remake
,Lunchbox,Marmita,,Geral,Tsukihime Remake
,Mage's Association,Associação dos Magos,,Magos,Tsukihime Remake
魔術,Magecraft,Magia,,Magos,Tsukihime Remake
魔術式,Magecraft Formula,Fórmula Mágica ,,Magos,Tsukihime Remake
魔術基盤,Magecraft Foundation,Fundamento Mágico,,Magos,Tsukihime Remake
魔法,Magic,Magia Verdadeira,,Magos,Tsukihime Remake
魔術回路,Magic Circuit,Circuito Mágico,,Magos,Tsukihime Remake
魔力,Magical Energy,Energia Mágica,,Magos,Tsukihime Remake
空想具現化,Marble Phantasm,Marble Phantasm,,Arcueid,Tsukihime Remake
千年城ブリュンスタッド,Millennium Castle,Castelo Milenar Brunestud,,Arcueid,Tsukihime Remake
,Mystic Code,Código Místico,,Magos,Tsukihime Remake
直死の魔眼,Mystic Eyes of Death Perception,Olhos Místicos de Percepção da Morte,,Sobrenatural,Tsukihime Remake
数秘紋,Numeromancy ,Numerologia,,Magos,Tsukihime Remake
鉄甲作用,Plating Effect,Efeito de Chapeamento,,Ciel,Tsukihime Remake
固有結界,Reality Marble,Reality Marble,,Sobrenatural,Tsukihime Remake
秘蹟,Sacrament,Sacramento ,,Igreja,Tsukihime Remake
第七聖典,Seventh Scripture,Sétima Escritura,,Ciel,Tsukihime Remake
城主,Suzerain,Suserano,,Vampiros,Tsukihime Remake
,Tea Ceremony Club room,Sala do Clube da Cerimônia do Chá,,Geral,Tsukihime Remake
,The Original One,A Primordial,,Arcueid,Tsukihime Remake
真祖,True Ancestor,Ancestral Original,,Vampiros,Tsukihime Remake
死徒二十七祖,Twenty-seven Dead Apostle Ancestors,Vinte-Sete Apóstolos Ancestrais da Morte,,Vampiros,Tsukihime Remake
氷河をまとう,Clad in Ice,Vestida em Geleiras,,Arcueid,Tsukihime Remake
数秘紋,Numeromancy,Gematria,,Sobrenatural,Tsukihime Remake
